,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu_over_sf),SiteEUIWN(kBtu_over_sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,SPD MCPP Areas,City Council Districts,SPD Beats,Zip Codes,NonRes,Compl,Outlier_ok,Anciennete,no_zero_floors,measure_floors,Intensité de consommation,log_PropertyGFATotal,log_PropertyGFAParking,log_PropertyGFABuilding(s),log_SiteEnergyUse(kBtu),log_SiteEnergyUseWN(kBtu),log_SiteEUI(kBtu_over_sf),log_SiteEUIWN(kBtu_over_sf),log_TotalGHGEmissions,log_GHGEmissionsIntensity,log_measure_floors,log_Anciennete,Address,City,State,ZipCode,Latitude,Longitude
426,581,2015,NonResidential,Other,MERIDIAN MEDICAL PAVILION,3026049051,"{'latitude': '47.7088653', 'longitude': '-122.3346333', 'human_address': '{""address"": ""11011 MERIDIAN AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,2005,1.0,3.0,161789,91935,69854,"Medical Office, Parking",Parking,91935.0,Medical Office,69854.0,,,,,100.5,100.5,315.6,315.6,7020517.0,7020517.0,0.0,2057596.0,7020809.0,0.0,0.0,0.0,48.94,0.12,No,,Compliant,,134.0,46.0,1.0,34.0,19582.0,1,1,,10,3.0,41595.84358132729,1,11.99404829612856,11.428837084587942,11.154162628614575,15.764347420013854,15.764347420013854,4.61015772749913,4.61015772749913,3.8905950580145254,-2.120263536200091,10.635755527347225,2.302585092994046,,,,,,
422,581,2016,NonResidential,Other,Meridian Medical Pavilion,3026049051,,5,NORTHWEST,2005,1.0,3.0,161789,91935,69854,"Medical Office, Parking",Parking,91935.0,Medical Office,69854.0,,,,,99.69999695,101.0999985,312.5,317.1000061,6963616.5,7063953.5,0.0,2036226.75,6947606.0,160.1000061,16010.0,,49.28,0.3,False,,Compliant,,,,,,,1,1,,11,3.0,41595.84358132729,1,11.99404829612856,11.428837084587942,11.154162628614575,15.756209509427963,15.770515438571561,4.602165646376017,4.616110111189631,3.8975183192252643,-1.2039728043259361,10.635755527347225,2.3978952727983707,11011 Meridian Ave N,Seattle,WA,98133.0,47.70887,-122.33494
432,588,2015,NonResidential,Mixed Use Property,1616 EASTLAKE BUILDING,3383900230,"{'latitude': '47.6344398', 'longitude': '-122.3246823', 'human_address': '{""address"": ""1616 EASTLAKE AVE E"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98102""}'}",4,LAKE UNION,2002,1.0,5.0,251827,113318,138509,"Laboratory, Office, Parking",Parking,113318.0,Laboratory,84000.0,Office,84000.0,,,256.2,258.4,605.1,596.3,43048528.0,43406292.0,0.0,7916896.0,27013570.0,160361.0,16036080.0,0.0,1039.99,3.67,No,,Compliant,,,17.0,,10.0,18376.0,1,1,,13,5.0,60989.51545179993,,12.436497622802575,11.637953304653513,11.838690584447754,17.577838595454356,17.586114965521016,5.545958389462633,5.554508771908447,6.946966376704575,1.3001916620664788,11.018457250543415,2.5649493574615367,,,,,,
429,588,2016,NonResidential,Mixed Use Property,1616 Eastlake,3383900230,,4,LAKE UNION,2002,0.0,5.0,251827,113318,138509,"Laboratory, Office, Parking",Parking,113318.0,Laboratory,84000.0,Office,84000.0,,,280.3999939,284.7000122,657.0999756,661.7000122,47102428.0,47837524.0,0.0,8544799.0,29154854.0,179475.7188,17947572.0,,1156.45,4.59,False,,Compliant,,,,,,,1,1,,14,5.0,60989.51545179993,,12.436497622802575,11.637953304653513,11.838690584447754,17.667835107551838,17.683320910414427,5.636217133405799,5.651436037136116,7.053110246841508,1.5238800240724537,11.018457250543415,2.6390573296152584,1616 Eastlake Ave. E,Seattle,WA,98102.0,47.63451,-122.32505
430,589,2016,NonResidential,Large Office,1260 Mercer,3481800010,,7,LAKE UNION,2000,1.0,4.0,175885,71385,104500,"Office, Parking",Office,103970.0,Parking,71390.0,,,,91.0,62.40000153,62.40000153,195.8999939,195.8999939,6486377.5,6486377.5,0.0,1901048.25,6486377.0,0.0,0.0,,45.22,0.26,False,,Compliant,,,,,,,1,1,,16,4.0,51986.167800391384,,12.077585651364625,11.17584304222332,11.556942350387002,15.685214766437552,15.685214766437552,4.133565299894612,4.133565299894612,3.811539466849824,-1.3470736479666092,10.85873295833964,2.772588722239781,1260 Mercer St,Seattle,WA,98109.0,47.6244,-122.33157
433,589,2015,NonResidential,Large Office,MERCER/YALE BLDG - 1260 MERCER,3481800010,"{'latitude': '47.62464437', 'longitude': '-122.3312698', 'human_address': '{""address"": ""1260 MERCER ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,2000,1.0,4.0,160777,71385,89392,"Office, Parking",Office,103970.0,Parking,71390.0,,,,88.0,67.2,67.2,211.1,211.1,6991476.0,6991476.0,0.0,2049084.0,6991765.0,0.0,0.0,0.0,48.74,0.12,No,,Compliant,,,56.0,,10.0,18390.0,1,1,,15,4.0,46266.795956318536,,11.987773590670676,11.17584304222332,11.40078647169893,15.760202250717395,15.760202250717395,4.207673247529104,4.207673247529104,3.8865000481970604,-2.120263536200091,10.742179832827752,2.70805020110221,,,,,,
432,592,2016,NonResidential,Other,SEATTLE 1ST AVE GAR,3573200658,,2,GREATER DUWAMISH,2000,1.0,1.0,53040,41600,11440,Other,Other,51427.0,,,,,,,34.40000153,37.0,75.0,77.0,1770027.5,1901429.125,0.0,280178.0,955967.0,8140.600098,814060.0,,49.9,0.94,False,,Compliant,,,,,,,1,1,,16,1.0,15718.3174262787,1,10.878801624859744,10.635855446249355,9.344871264933788,14.386505641152482,14.458116332450423,3.538056608856096,3.6109179126442243,3.910021002757473,-0.06187540371808753,9.66258202630292,2.772588722239781,4755 1ST AVE S,Seattle,WA,98134.0,47.55787,-122.335
439,597,2015,NonResidential,Large Office,635 ELLIOTT - SOUTH BUILDING,3879902270,"{'latitude': '47.62516702', 'longitude': '-122.3671766', 'human_address': '{""address"": ""635 ELLIOTT AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98119""}'}",7,MAGNOLIA / QUEEN ANNE,2009,1.0,4.0,291176,100176,191000,"Office, Parking",Office,194674.0,Parking,111198.0,,,,99.0,31.2,31.2,98.1,98.1,6083307.0,6083307.0,0.0,1782915.0,6083558.0,0.0,0.0,0.0,42.41,0.06,No,,Compliant,,,50.0,,40.0,19575.0,1,1,,6,4.0,82712.83741345945,,12.581683174325734,11.514683917985092,12.160028707028767,15.621059020548172,15.621059020548172,3.4404180948154366,3.4404180948154366,3.747384183486499,-2.8134107167600364,11.323130097664686,1.791759469228055,,,,,,
436,597,2016,NonResidential,Large Office,635 Elliott - South Bldg.,3879902270,,7,MAGNOLIA / QUEEN ANNE,2009,1.0,4.0,291176,100176,191000,"Office, Parking",Office,194674.0,Parking,111198.0,,,,98.0,34.20000076,34.20000076,106.5999985,106.5999985,6657348.5,6657348.5,0.0,1929988.0,6585119.0,722.2838745,72228.0,,49.74,0.17,False,,Compliant,,,,,,,1,1,,7,4.0,82712.83741345945,,12.581683174325734,11.514683917985092,12.160028707028767,15.711231840121398,15.711231840121398,3.5322256662907816,3.5322256662907816,3.9068094383752587,-1.7719568419318752,11.323130097664686,1.9459101490553132,635 Elliott Avenue West,Seattle,WA,98119.0,47.6252,-122.36737
441,602,2016,NonResidential,Mixed Use Property,199 Blaine,4088802666,,4,LAKE UNION,2008,1.0,3.0,175918,51218,124700,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,,,232.3000031,235.6000061,503.6000061,502.0,22530168.0,22846738.0,0.0,3530997.0,12047762.0,104824.0547,10482405.0,,640.71,3.64,False,,Compliant,,,,,,,1,1,,8,3.0,66032.1525600635,,12.077773256360016,10.843846311743983,11.733666131668128,16.930365769104995,16.944318908002124,5.448029653121176,5.462135477668773,6.462576936452002,1.2919836816486494,11.097897062385616,2.0794415416798357,199 E Blaine St.,Seattle,WA,98102.0,47.63465,-122.32592
444,602,2015,NonResidential,Mixed Use Property,GILEAD SCIENCES BLDG. (ALEXANDRIA R.E.)  ECON. UNI,4088802666,"{'latitude': '47.63453293', 'longitude': '-122.32646179', 'human_address': '{""address"": ""199 E BLAINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98102""}'}",4,LAKE UNION,2008,1.0,3.0,175918,51218,124700,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,,,206.9,212.0,450.7,447.2,20063722.0,20556872.0,0.0,3174825.0,10832953.0,92312.0,9231218.0,0.0,565.79,2.95,No,,Compliant,,,17.0,,10.0,18376.0,1,1,,7,3.0,66032.1525600635,,12.077773256360016,10.843846311743983,11.733666131668128,16.814423866656913,16.838705846898943,5.332235584751498,5.356586274672012,6.338222984621494,1.0818051703517284,11.097897062385616,1.9459101490553132,,,,,,
442,603,2016,NonResidential,Other,1241 Eastlake - Zymogenetics,4088802925,,3,LAKE UNION,1920,1.0,3.0,169785,63782,106003,"Other, Parking",Other,106003.0,Parking,63782.0,,,,,180.6999969,183.1999969,451.0,453.6000061,19155416.0,19419744.0,0.0,3883254.0,13249663.0,59057.51953,5905752.0,,406.02,2.39,False,,Compliant,,,,,,,1,1,,96,3.0,57891.24801597555,1,12.04228820973463,11.063226297864814,11.571222674580506,16.76809605344828,16.781800838454263,5.196838180442676,5.210578435318633,6.006402419472189,0.8712933659434193,10.966321495244118,4.564348191467836,1241 Eastlake Ave E,Seattle,WA,98102.0,47.63108,-122.32746
445,603,2015,NonResidential,Other,ZYMOGENETICS,4088802925,"{'latitude': '47.63103515', 'longitude': '-122.3275228', 'human_address': '{""address"": ""1201 EASTLAKE AVE E"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98102""}'}",3,LAKE UNION,1920,1.0,3.0,169785,63782,106003,"Other, Parking",Other,106003.0,Parking,63782.0,,,,,199.9,208.6,483.2,492.4,21187538.0,22117482.0,0.0,4062292.0,13861116.0,73270.0,7326996.0,0.0,485.76,2.51,No,,Compliant,,,56.0,,10.0,18390.0,1,1,,95,3.0,57891.24801597555,1,12.04228820973463,11.063226297864814,11.571222674580506,16.86892373661366,16.91187889450415,5.297817241506355,5.340418542566672,6.18571467476721,0.9202827531436925,10.966321495244118,4.553876891600541,,,,,,
456,614,2015,NonResidential,Small- and Mid-Sized Office,INTERURBAN BUILDING (OLD SMITH TOWER ANNEX BUILDING),5247800555,"{'latitude': '47.60146407', 'longitude': '-122.3324777', 'human_address': '{""address"": ""157 YESLER WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1900,1.0,6.0,75496,13320,62176,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,,,55.6,60.5,174.5,190.0,3347567.0,3643652.0,0.0,981116.0,3347706.0,0.0,0.0,0.0,23.34,0.12,No,,Compliant,,,49.0,,20.0,18379.0,1,1,,115,6.0,34793.990822348445,,11.231834953701169,9.49702194409438,11.037724352177166,15.023744371283689,15.10849703335047,4.018183201256536,4.102643365036796,3.15016862685841,-2.120263536200091,10.457199973333363,4.74493212836325,,,,,,
454,614,2016,NonResidential,Small- and Mid-Sized Office,Interurban Building,5247800555,,7,DOWNTOWN,1900,1.0,6.0,75496,13320,62176,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,,,59.29999924,62.09999847,186.1000061,195.0,3570161.75,3740114.25,0.0,1046354.5,3570162.0,0.0,0.0,,24.89,0.33,False,,Compliant,,,,,,,1,1,,116,6.0,34793.990822348445,,11.231834953701169,9.49702194409438,11.037724352177166,15.088121460852689,15.134626717052472,4.082609293187491,4.128745964301752,3.2144661163795005,-1.1086626245216111,10.457199973333363,4.7535901911063645,157 Yesler Way,Seattle,WA,98104.0,47.60146,-122.33248
464,625,2016,NonResidential,Large Office,"2200 Equities, LLC",7666206220,,2,GREATER DUWAMISH,1900,1.0,4.0,129000,25800,103200,Office,Office,104869.0,,,,,,80.0,41.70000076,41.70000076,131.0,131.0,4374646.0,4374646.0,0.0,1282135.25,4374645.0,0.0,0.0,,30.5,0.24,False,,Compliant,,,,,,,1,1,,116,4.0,51499.80544673442,,11.76756768334381,10.158129770909708,11.544424132029599,15.2913361602144,15.2913361602144,3.7305011470301754,3.7305011470301754,3.417726683613366,-1.4271163556401458,10.84933330891138,4.7535901911063645,2200 1st Avenue South,Seattle,WA,98134.0,47.58361,-122.33369
