,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu_over_sf),SiteEUIWN(kBtu_over_sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NonRes,Compl,Outlier_ok,Anciennete,no_zero_floors,measure_floors,Intensité de consommation,log_PropertyGFATotal,log_PropertyGFAParking,log_PropertyGFABuilding(s),log_SiteEnergyUse(kBtu),log_SiteEnergyUseWN(kBtu),log_SiteEUI(kBtu_over_sf),log_SiteEUIWN(kBtu_over_sf),log_TotalGHGEmissions,log_GHGEmissionsIntensity,log_measure_floors,log_Anciennete
212,334,2016,NonResidential,Large Office,West 8th,2001 - 8th Avenue,Seattle,WA,98121.0,0659000750,7,DOWNTOWN,47.61578,-122.33726,2009,1.0,25,758043,228668,529375,"Office, Parking",Office,582725.0,Parking,191082.0,,,20162015,95.0,46.40000153,46.40000153,142.3999939,142.3999939,27018020.0,27018020.0,0.0,7658746.5,26131643.0,8863.726563,886373.0,False,Compliant,,229.25,0.3,1,1,,7,25,166691.3221085525,,13.538495391247713,12.340026448926704,13.179452344388455,17.11201460875873,17.11201460875873,3.837299492206347,3.837299492206347,5.434813111136574,-1.2039728043259361,12.023899010446579,1.9459101490553132
214,336,2016,NonResidential,Large Office,1918 Eighth Avenue,1918 Eighth Avenue,Seattle,WA,98101.0,0660000650,7,DOWNTOWN,47.61555,-122.33582,2009,1.0,36,824887,154972,669915,"Office, Parking",Office,743562.0,Parking,161119.0,,,20172015,97.0,53.20000076,52.90000153,166.8999939,166.1999969,39523852.0,39360016.0,0.0,11583777.0,39523847.0,0.0,0.0,False,Compliant,,275.54,0.33,1,1,,7,36,215044.7548463621,,13.623001686238643,11.95099973442179,13.414906117647377,17.492414895729713,17.488261036652307,3.974058410633313,3.9684033677867485,5.618732808616453,-1.1086626245216111,12.278601447523183,1.9459101490553132
215,337,2016,NonResidential,Large Office,1800 Ninth,1800 9th Avenue,Seattle,WA,98101.0,0660001135,7,DOWNTOWN,47.61516,-122.33303,1990,1.0,16,480840,141600,339240,"Fitness Center/Health Club/Gym, Office, Other, Parking, Restaurant",Office,311736.0,Parking,123356.0,Fitness Center/Health Club/Gym,18239.0,,94.0,52.70000076,54.40000153,164.6000061,170.1000061,17867002.0,18468776.0,0.0,5197326.0,17733276.0,1337.241333,133724.0,False,Compliant,,130.73,0.27,1,1,,26,16,114393.40084337632,,13.08328985341819,11.860761460241756,12.734463100475637,16.69846610585351,16.731592080353074,3.9646154699685687,3.9963641819868965,4.873134127573769,-1.3093333199837622,11.647398671328473,3.258096538021482
222,346,2016,NonResidential,Large Office,1000 Second Avenue,1000 Second Avenue,Seattle,WA,98104.0,0939000475,7,DOWNTOWN,47.60567,-122.33511,1986,1.0,41,589921,129432,460489,"Office, Parking, Pre-school/Daycare",Office,470416.0,Parking,107667.0,Pre-school/Daycare,10290.0,20162015,84.0,51.20000076,51.20000076,160.6999969,160.6999969,24603420.0,24603420.0,0.0,7210849.0,24603417.0,0.0,0.0,False,Compliant,,171.52,0.29,1,1,,30,41,185036.15242422873,,13.287743908611638,11.770910925685172,13.040044247312936,17.01839601562984,17.01839601562984,3.935739546889212,3.935739546889212,5.144699877882437,-1.2378743560016174,12.128306503478097,3.4011973816621555
223,347,2016,NonResidential,Small- and Mid-Sized Office,1015 Second Avenue,1015 Second Avenue,Seattle,WA,98104.0,0939000520,7,DOWNTOWN,47.60542,-122.33588,1950,1.0,6,91091,1392,89699,"Office, Parking",Office,89699.0,Parking,1392.0,,,,,20.5,21.39999962,53.90000153,55.0,1835804.875,1916413.75,480784.0,397133.9063,1355021.0,0.0,0.0,False,Compliant,,46.56,0.51,1,1,,66,6,44294.51598624339,,11.41961428583207,7.238496840894365,11.404214899712727,14.422993567281631,14.465966158876656,3.0204248861443626,3.063390904270796,3.8407418034231826,-0.6733445532637656,10.698616155734697,4.189654742026425
224,348,2016,NonResidential,Large Office,1101 Second Avenue (HOB),1101 2nd Avenue,Seattle,WA,98101.0,0942000025,7,DOWNTOWN,47.60581,-122.33664,1968,1.0,8,157941,62993,94948,"Office, Parking",Office,84838.0,Parking,15401.0,,,2016,81.0,44.09999847,44.09999847,138.5,138.5,3743228.5,3743228.5,0.0,1097077.25,3743228.0,0.0,0.0,False,Compliant,,26.1,0.17,1,1,,48,8,46730.146547459575,,11.969976824549827,11.050778888089262,11.461084652300842,15.135459032311527,15.135459032311527,3.786459747758922,3.786459747758922,3.261935314328648,-1.7719568419318752,10.752144771736196,3.871201010907891
225,349,2016,NonResidential,Large Office,2nd and Seneca,1191 2nd Avenue,Seattle,WA,98101.0,0942000030,7,DOWNTOWN,47.60614,-122.33674,1991,1.0,29,635303,197231,438072,"Office, Parking",Office,522667.0,Parking,194435.0,Convenience Store without Gas Station,6122.0,201620152014201320112010200920072000,95.0,34.90000153,35.90000153,108.8000031,111.9000015,18221224.0,18754466.0,180731.7969,5287365.0,18040489.0,0.0,0.0,False,Compliant,,139.72,0.22,1,1,,25,29,157677.1090474318,,13.361857329421973,12.192130909607279,12.99013855941073,16.718097626463944,16.746942468685422,3.552486873047922,3.5807373381126166,4.939640419938631,-1.5141277326297755,11.968304607357611,3.2188758248682006
227,351,2016,NonResidential,Large Office,1111 Third Avenue,1111 3rd Ave Suite 310,Seattle,WA,98101.0,0942000050,7,DOWNTOWN,47.60655,-122.33533,1980,1.0,34,776762,162604,614158,"Office, Parking",Office,606050.0,Parking,154947.0,,,201620092008,81.0,53.70000076,53.79999924,168.3000031,168.3999939,32552428.0,32577050.0,0.0,9512705.0,32457349.0,950.7598877,95076.0,False,Compliant,,231.32,0.3,1,1,,36,34,200848.03011118842,,13.56288927612212,11.999073076039268,13.328007503016082,17.298362516770887,17.299118610691153,3.983413015667519,3.9852734530413447,5.443802033290018,-1.2039728043259361,12.210303831978258,3.58351893845611
228,352,2016,NonResidential,Large Office,Abraham Lincoln Building (Wallysons Inc),1110 Third Avenue,Seattle,WA,98101.0,0942000140,7,DOWNTOWN,47.60671,-122.33456,1972,1.0,14,186768,23775,162993,"Data Center, Office, Parking",Office,182540.0,Parking,33671.0,Data Center,240.0,201620142012,95.0,52.70000076,53.90000153,142.8000031,143.1000061,9641043.0,9843217.0,2154977.5,2194040.0,7486064.0,0.0,0.0,False,Compliant,,218.53,1.17,1,1,,44,14,72066.21997866068,,12.137622483892445,10.07638988741359,12.001462534081469,16.081539855754816,16.102293146492485,3.9646154699685687,3.9871305063008506,5.386923304882061,0.1570037488096647,11.185340697238974,3.784189633918261
229,353,2016,NonResidential,Large Office,Safeco Plaza,1001 Fourth Avenue,Seattle,WA,98154.0,0942000300,7,DOWNTOWN,47.60615,-122.33388,1969,1.0,49,1123435,368980,754455,"Financial Office, Food Sales, Office, Other, Parking",Office,808980.0,Parking,232248.0,Other,30329.0,20162015201420122008,89.0,52.70000076,55.5,149.0,154.6999969,45163308.0,47518124.0,0.0,11248209.0,38378889.0,67844.14844,6784415.0,False,Compliant,,627.87,0.56,1,1,,47,49,258603.27428907287,,13.931901514016193,12.818497721011756,13.53375091326426,17.62579554522734,17.676621754124906,3.9646154699685687,4.0163830207523885,6.442333138669996,-0.579818495252942,12.46305040683708,3.8501476017100584
